Row,Day,Event,slice,model_pred,margin,vocab_hits,dupe
344,2,Richmond Hill Comedy Night!! Live Standup Comedy Show,gate,For Couples,0.477,10,
345,2,GTA AVIXA Women's Council Presents: 2026 Infocomm After Show,train,For Couples,0.05,3,
346,2,St. Elizabeth RAP Drama presents Concord Floral by Jordan Tannahill,train,For Couples,0.073,8,
347,2,EGPL Guided Canva Co-Working Session,gate,For Golden Age Readers,0.32,11,
348,2,Strawberry Moon Sunset Meditation,train,For Couples,0.071,8,
349,2,Weekly All Day Magic the Gathering: Commander Open Play,train,For Families,0.031,17,
350,2,"Summit NA Roadshow - Toronto, Ontario",gate,For Couples,0.411,7,
351,2,Stories for Beginners,gate,For Golden Age Readers,0.316,3,
352,2,P1 Raceway @ Taste of Asia 2026,train,For Couples,0.066,5,
353,2,Bloom Market (Calling for Vendors),train,For Couples,0.079,10,
354,2,YouTube AI Production Studio (Aug 10-14:AM),gate,For Families,0.351,7,PAIR
355,2,CRAFTED IN BLOOM: A Guided Candle Making & Decorating Experience,gate,For Golden Age Readers,0.069,16,
356,2,MINISTERS OF MAY,train,For Couples,0.063,8,
357,2,Meals and Migration in Little Manila,train,For Golden Age Readers,0.076,56,
358,2,The Gardens of Markham Tour Master Test,gate,For Golden Age Readers,0.503,11,
359,2,Afghan Nights at Luna Lounge | Canada Day Long Weekend,gate,For Families,0.339,14,
360,2,Impression Headshots,train,For Families,0.021,3,
361,2,Cooking with Chef Taylor,train,For Couples,0.02,9,
362,2,Adventures in Math & Science Camp (Age 5-6),gate,For Families,0.819,30,PAIR
363,2,Renegade Paws Rescue 2026 Poker Run,train,For Couples,0.021,5,
364,2,K-pop Dance,train,For Families,0.044,29,
365,2,Future FIFA Stars: Girls Rising to 2026,gate,For Couples,0.253,6,
366,2,Oshkabewis Program – Spring Gathering,gate,For Golden Age Readers,0.38,10,
367,2,Markham Cycling Day,gate,For Couples,0.157,5,PAIR
368,2,Catchball In The Park For Women (Maple),train,For Golden Age Readers,0.051,21,
369,2,Songs for Turtle Island: National Indigenous Peoples Day,gate,For Golden Age Readers,0.219,4,
370,2,Canada Automotive Summit,train,For Golden Age Readers,0.025,3,
371,2,CRAFTED IN BLOOM: A Candle Making & Decorating Experience,gate,For Golden Age Readers,0.167,20,
372,2,Tomahawk Steak and Wine Pairing Dinner,gate,For Couples,0.745,7,
373,2,LEGO® FIFA Mini Trophy at Staples Store 19,gate,For Families,0.543,9,PAIR
374,2,In Awe of Nature Contact Photography Festival,train,For Golden Age Readers,0.088,6,
375,2,Free show live at The Tickled Toad Thornhill,train,For Couples,0.028,4,
376,2,Grant Ivens: Why Not! book launch hosted at Harmony Hall,gate,For Couples,0.108,7,
377,2,Bollywood Boom Friday Night (Tickets Redeemable Inside),gate,For Couples,0.705,13,PAIR
378,2,Campmeeting 2026,train,For Couples,0.015,3,
379,2,Richmond Hill Ribfest,gate,For Families,0.093,4,PAIR
380,2,Latte Art - 1,train,For Golden Age Readers,0.039,7,
381,2,EASTER EVENT,train,For Families,0.104,12,
382,2,ArtNite: Majestic,train,For Golden Age Readers,0.052,3,
383,2,Bedazzle a Book (For Adults),gate,For Couples,0.051,3,
384,2,K-pop Dance Camp,gate,For Golden Age Readers,0.034,10,PAIR
385,2,Sip & Stride Markham,gate,For Couples,0.029,8,PAIR
386,2,Sustainability Career Leadership Forum 2026,train,For Golden Age Readers,0.035,11,
387,2,Digital Resource Training for Job Seekers,train,For Families,0.092,21,
388,2,Child Car Seat Clinic (Vaughan),gate,For Families,0.277,15,PAIR
389,2,"Effective Business Presentation Skills Training – Markham, ON|1Day Workshop",train,For Golden Age Readers,0.06,9,
390,2,Somebody Anybody & DLT - RnB Brunch & Day-Party @ Lavelle (MAY EDITION),gate,For Couples,0.112,5,PAIR
391,2,Thermomix Ice Cream Workshop,train,For Couples,0.042,15,
392,2,"Markham, ON - Markham Village Music Festival",gate,For Families,0.184,6,
393,2,Soul Food Caribbean Festival: Fire In The Park,train,For Couples,0.011,16,
394,2,Karaoke & Pizza,train,For Golden Age Readers,0.107,18,
395,2,"TMJ 2 Toes - Module 3 - Upper & Lower Limb Adjusting Seminar - Markham, ON",train,For Families,0.031,3,
396,2,Junior Engineer Explorers Camp (Age 5-6),gate,For Families,0.745,26,PAIR
397,2,Turn 6 Fest at Markham Honda,train,For Couples,0.044,5,
398,2,AI Image Keychain Maker,train,For Golden Age Readers,0.012,5,
399,2,Black Coffee in Toronto,train,For Couples,0.063,6,
400,2,2026 WORLD CUP CAR MEET THE CAR CARTEL x GOLDEN MILE CHRYSLER,train,For Couples,0.005,6,
